timestamp,symbol,price,high,low,volume,top_bid_price,top_bid_volume,top_ask_price,top_ask_volume
2025-07-26T15:46:24.760346,BTC/USDT,117959.24,118205.39,115403.47,4.42327,117857.54,0.00101,117974.55,0.00457
2025-07-26T15:46:24.848351,ETH/USDT,3731.0,3778.28,3616.41,224.1941,3727.44,0.0524,3731.0,0.0001
2025-07-26T15:46:24.936985,BNB/USDT,779.06,785.14,762.29,326.102,779.82,0.065,780.78,2.712
2025-07-26T15:46:25.028669,XRP/USDT,3.1818,3.2082,3.0226,130531.4,3.1802,40.6,3.1834,22293.0
2025-07-26T15:46:25.118004,ADA/USDT,0.8275,0.8338,0.7797,263208.6,0.8269,225.6,0.828,2857.0
2025-07-26T15:47:25.258753,BTC/USDT,117959.24,118205.39,115403.57,4.42321,117857.62,0.22018,117981.86,0.43201
2025-07-26T15:47:25.346782,ETH/USDT,3731.0,3778.28,3616.41,224.1941,3727.57,0.4034,3731.0,0.0001
2025-07-26T15:47:25.434973,BNB/USDT,779.06,785.14,762.29,326.102,779.47,0.064,780.65,0.15
2025-07-26T15:47:25.523873,XRP/USDT,3.1818,3.2082,3.0226,130507.4,3.1802,40.6,3.183,1414.3
2025-07-26T15:47:25.611913,ADA/USDT,0.8275,0.8338,0.7797,263208.6,0.8279,55.1,0.8293,2857.0
2025-07-26T15:48:25.708327,BTC/USDT,117959.24,118205.39,115403.57,4.42321,117867.24,0.001,117981.87,0.07782
2025-07-26T15:48:25.796400,ETH/USDT,3731.0,3778.28,3619.22,224.1872,3726.95,0.4035,3730.99,0.0036
2025-07-26T15:48:25.884770,BNB/USDT,779.06,785.14,762.29,326.095,779.2,0.064,780.7,0.15
2025-07-26T15:48:25.971736,XRP/USDT,3.1818,3.2082,3.0226,130507.4,3.1822,310.0,3.1862,22293.0
2025-07-26T15:48:26.060060,ADA/USDT,0.8275,0.8338,0.7797,263208.6,0.8281,55.0,0.8293,2857.0
2025-07-26T15:51:09.485242,BTC/USDT,117959.24,118205.39,115574.99,4.42316,117985.13,0.21917,118056.85,0.00351
2025-07-26T15:51:09.573837,ETH/USDT,3732.99,3778.28,3619.22,224.3533,3733.49,0.4099,3737.68,0.0174
2025-07-26T15:51:09.663910,BNB/USDT,779.06,785.14,762.65,321.029,779.95,0.045,781.49,0.15
2025-07-26T15:51:09.754760,XRP/USDT,3.1818,3.2082,3.0264,130068.1,3.188,310.0,3.1911,1414.3
2025-07-26T15:51:09.844763,ADA/USDT,0.8275,0.8338,0.7797,258265.3,0.8302,38.8,0.8311,15.7
2025-07-26T15:52:09.950166,BTC/USDT,117959.24,118205.39,115574.99,4.42316,117985.89,0.00064,118115.13,0.46909
2025-07-26T15:52:10.038085,ETH/USDT,3732.99,3778.28,3619.22,224.3533,3733.17,0.0351,3737.37,25.5145
2025-07-26T15:52:10.157746,BNB/USDT,781.27,785.14,762.65,321.079,780.19,0.041,781.27,0.1
2025-07-26T15:52:10.246581,XRP/USDT,3.1818,3.2082,3.0264,130068.1,3.1872,25.8,3.1906,22293.0
2025-07-26T15:52:10.334729,ADA/USDT,0.8275,0.8338,0.7797,256492.4,0.8302,43.5,0.8311,15.7
2025-07-26T15:53:10.432254,BTC/USDT,117959.24,118205.39,115574.99,4.42316,117986.93,0.00014,118102.24,0.03628
2025-07-26T15:53:10.523782,ETH/USDT,3736.75,3778.28,3619.22,224.3812,3733.21,0.4326,3737.52,0.3936
2025-07-26T15:53:10.614023,BNB/USDT,781.27,785.14,762.65,321.079,780.22,0.159,781.23,0.15
2025-07-26T15:53:10.702769,XRP/USDT,3.1818,3.2082,3.0264,130065.1,3.1889,5.7,3.1921,1414.3
2025-07-26T15:53:10.790807,ADA/USDT,0.8275,0.8338,0.7797,256477.3,0.8301,170.0,0.8311,15.7
2025-07-26T15:54:10.919765,BTC/USDT,117987.26,118205.39,115574.99,4.4235,117999.91,0.21875,118132.95,0.012
2025-07-26T15:54:11.007889,ETH/USDT,3736.75,3778.28,3619.22,224.3694,3731.68,0.013,3736.02,25.5145
2025-07-26T15:54:11.096531,BNB/USDT,781.27,785.14,762.65,321.079,780.22,0.159,781.22,0.317
2025-07-26T15:54:11.185254,XRP/USDT,3.1818,3.2082,3.0264,130044.4,3.1884,959.0,3.191,310.0
2025-07-26T15:54:11.274825,ADA/USDT,0.8305,0.8338,0.7797,256368.0,0.8307,170.0,0.832,3773.6
2025-07-26T15:55:11.371562,BTC/USDT,117987.26,118205.39,115574.99,4.42207,118042.64,0.21867,118148.96,0.00531
2025-07-26T15:55:11.459721,ETH/USDT,3736.75,3778.28,3619.22,224.2315,3731.85,0.4095,3736.5,0.39
2025-07-26T15:55:11.547370,BNB/USDT,781.31,785.14,762.65,321.089,780.24,0.15,781.31,0.307
2025-07-26T15:55:11.640167,XRP/USDT,3.189,3.2082,3.0264,130055.3,3.189,948.1,3.1923,310.0
2025-07-26T15:55:11.734102,ADA/USDT,0.8305,0.8338,0.7797,256368.0,0.8305,170.0,0.832,13100.7
2025-07-26T15:56:11.917582,BTC/USDT,118037.34,118205.39,115574.99,4.42314,118042.87,0.21721,118148.96,0.00531
2025-07-26T15:56:12.005260,ETH/USDT,3737.7,3778.28,3619.22,224.7452,3731.37,0.0031,3737.44,25.5145
2025-07-26T15:56:12.093630,BNB/USDT,781.31,785.14,762.65,321.089,780.29,0.004,781.29,3.142
2025-07-26T15:56:12.182625,XRP/USDT,3.189,3.2082,3.0264,130054.3,3.1897,2.8,3.1931,22293.0
2025-07-26T15:56:12.270323,ADA/USDT,0.8305,0.8338,0.7797,256368.0,0.8306,3.8,0.832,2860.2
2025-07-26T15:57:12.369041,BTC/USDT,118037.34,118205.39,115574.99,4.40887,118053.62,0.21708,118148.96,0.00531
2025-07-26T15:57:12.458180,ETH/USDT,3737.7,3778.28,3619.22,224.7452,3732.97,0.0031,3736.59,25.5145
2025-07-26T15:57:12.546113,BNB/USDT,781.31,785.14,762.65,319.585,779.52,0.15,780.96,0.15
2025-07-26T15:57:12.634143,XRP/USDT,3.189,3.2082,3.0264,130054.3,3.1884,2.8,3.1908,310.0
2025-07-26T15:57:12.724069,ADA/USDT,0.8305,0.8338,0.7797,256368.0,0.8299,3.8,0.8316,3773.6
2025-07-26T15:58:12.818368,BTC/USDT,118037.34,118205.39,115574.99,4.40887,118053.76,0.21836,118148.96,0.00531
2025-07-26T15:58:12.918412,ETH/USDT,3737.7,3778.28,3619.22,224.7452,3729.05,8.4985,3734.83,25.5145
2025-07-26T15:58:13.006416,BNB/USDT,781.31,785.14,762.65,319.58,780.03,0.104,780.92,0.15
2025-07-26T15:58:13.094122,XRP/USDT,3.189,3.2082,3.0264,130054.3,3.1879,999.0,3.1911,1267.1
2025-07-26T15:58:13.182907,ADA/USDT,0.8305,0.8338,0.7797,256368.0,0.8303,1798.9,0.8314,3921.2
2025-07-26T15:59:13.350429,BTC/USDT,118037.34,118205.39,115574.99,4.40719,118053.9,5e-05,118148.96,0.00531
2025-07-26T15:59:13.438099,ETH/USDT,3737.7,3778.28,3619.22,224.7452,3730.47,0.0028,3735.93,0.39
2025-07-26T15:59:13.526851,BNB/USDT,781.31,785.14,762.65,318.475,780.04,0.003,780.97,3.282
2025-07-26T15:59:13.614686,XRP/USDT,3.189,3.2082,3.0264,130054.3,3.1889,1.4,3.1919,22293.0
2025-07-26T15:59:13.702237,ADA/USDT,0.8305,0.8338,0.7797,256114.2,0.831,176.2,0.8322,3921.2
2025-07-26T16:00:13.842484,BTC/USDT,118037.34,118205.39,115574.99,4.4069,118015.47,0.21701,118143.8,0.00019
2025-07-26T16:00:13.931235,ETH/USDT,3737.7,3778.28,3619.22,224.7314,3731.76,0.4094,3736.69,2.8584
2025-07-26T16:00:14.020493,BNB/USDT,781.31,785.14,762.65,318.475,780.09,0.15,781.18,0.15
2025-07-26T16:00:14.109049,XRP/USDT,3.1898,3.2082,3.0264,130062.1,3.1905,310.0,3.1935,91.8
2025-07-26T16:00:14.198559,ADA/USDT,0.8313,0.8338,0.7797,256493.2,0.8318,170.0,0.8334,170.0
2025-07-26T16:01:14.296584,BTC/USDT,118029.86,118205.39,115574.99,4.40519,118023.26,0.21701,118143.79,0.03723
2025-07-26T16:01:14.384854,ETH/USDT,3737.7,3778.28,3619.22,224.7149,3733.76,0.0066,3737.94,25.5145
2025-07-26T16:01:14.472725,BNB/USDT,781.31,785.14,762.65,318.475,780.59,0.15,781.69,0.313
2025-07-26T16:01:14.560814,XRP/USDT,3.1965,3.2082,3.0264,130063.9,3.1931,796.3,3.1977,310.0
2025-07-26T16:01:14.649899,ADA/USDT,0.8313,0.8338,0.7797,256493.2,0.8323,170.0,0.8337,3019.1
2025-07-26T16:02:14.745990,BTC/USDT,118143.8,118205.39,115574.99,4.40341,118058.18,0.21701,118191.21,0.03964
2025-07-26T16:02:14.834981,ETH/USDT,3737.7,3778.28,3619.22,223.7149,3734.25,0.4028,3739.71,3.3478
2025-07-26T16:02:14.924223,BNB/USDT,781.31,785.14,762.65,318.475,780.39,0.15,781.63,0.47
2025-07-26T16:02:15.012482,XRP/USDT,3.2013,3.2082,3.0264,129996.5,3.2012,310.0,3.2013,15.6
2025-07-26T16:02:15.101131,ADA/USDT,0.834,0.834,0.7797,256574.8,0.834,7802.9,0.8341,5.7
2025-07-26T16:03:15.196068,BTC/USDT,118143.8,118205.39,115574.99,4.39453,118056.29,0.37023,118191.2,0.00023
2025-07-26T16:03:15.284586,ETH/USDT,3735.29,3778.28,3619.22,223.7155,3732.25,0.0066,3736.15,0.5153
2025-07-26T16:03:15.373492,BNB/USDT,780.39,785.14,762.65,318.492,780.01,0.15,781.43,0.15
2025-07-26T16:03:15.461569,XRP/USDT,3.2015,3.2082,3.0264,129818.0,3.2021,310.0,3.2057,1018.4
2025-07-26T16:03:15.549569,ADA/USDT,0.835,0.835,0.7797,256699.8,0.8341,170.0,0.835,12.5
